id,accommodates,bathrooms,bedrooms,cleaning_fee,security_deposit,extra_people,guests_included,minimum_nights,host_is_superhost,Laptop_friendly_workspace,Family_kid_friendly,Host_greets_you,Smoking_is_allowed,distance_to_midcenter,size,host_has_profile_pic_0,host_has_profile_pic_1,instant_bookable_f,instant_bookable_t,is_business_travel_ready_f,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60
171746,2,1.0,1.0,50.0,0.0,30.0,2,4,0,False,False,False,False,2.750213776824821,15.0,0,1,0,1,1,0,1,0,0,0
173153,5,2.0,2.0,50.0,300.0,20.0,1,2,0,False,False,True,False,1.180850764262091,95.0,0,1,1,0,1,0,1,0,0,0
174391,2,1.0,1.0,10.0,0.0,0.0,1,1,0,False,False,False,True,1.1289113050698927,10.0,0,1,1,0,1,1,0,0,0,0
174547,3,1.0,2.0,100.0,500.0,30.0,2,60,0,False,False,False,False,1.2450736800154691,40.0,0,1,1,0,1,0,0,1,0,0
174560,3,1.0,2.0,30.0,0.0,15.0,2,60,0,False,False,False,False,1.3511904982446847,56.0,0,1,1,0,1,0,1,0,0,0
174576,5,1.0,2.0,100.0,500.0,30.0,2,60,0,False,False,False,False,1.4024277613861313,40.0,0,1,1,0,1,0,0,1,0,0
174579,3,1.0,2.0,30.0,0.0,15.0,2,60,0,False,False,False,False,1.4114146224261517,22.0,0,1,1,0,1,0,1,0,0,0
175667,2,1.0,1.0,35.0,200.0,10.0,1,60,0,False,False,True,False,5.249736666338613,15.0,0,1,1,0,1,0,0,1,0,0
176342,6,2.0,3.0,98.0,500.0,69.0,4,1,0,False,False,False,False,2.0212567931362044,200.0,0,1,1,0,1,0,0,1,0,0
176355,6,2.0,2.0,98.0,500.0,69.0,4,1,0,False,False,False,False,2.2642261781582858,200.0,0,1,1,0,1,0,0,1,0,0
176396,2,2.0,3.0,20.0,0.0,10.0,1,1,0,False,False,True,False,6.848839959165904,12.0,0,1,0,1,1,1,0,0,0,0
176852,2,1.0,1.0,30.0,350.0,5.0,2,3,0,False,False,False,False,3.8616253170308257,22.0,0,1,1,0,1,0,1,0,0,0
177486,3,1.0,1.0,30.0,250.0,19.0,2,2,0,False,False,False,False,6.972281293849262,48.0,0,1,1,0,1,0,0,1,0,0
178347,3,1.0,1.0,40.0,300.0,25.0,1,2,0,False,False,True,False,3.8441868417754206,53.0,0,1,1,0,1,0,0,1,0,0
179102,12,1.5,3.0,140.0,200.0,20.0,4,2,1,False,False,True,False,5.425011608372825,800.0,0,1,1,0,1,0,1,0,0,0
180440,1,1.0,1.0,30.0,100.0,0.0,1,60,0,False,False,True,False,7.319778507402235,30.0,0,1,1,0,1,0,0,1,0,0
181160,1,1.0,1.0,0.0,0.0,0.0,1,2,1,False,False,False,False,3.3251157671287346,22.0,0,1,1,0,1,0,1,0,0,0
183206,2,1.0,1.0,25.0,100.0,10.0,1,1,1,False,False,False,False,1.3109317926609583,35.0,0,1,0,1,1,0,0,1,0,0
183918,3,1.0,1.0,15.0,100.0,5.0,1,15,0,False,False,False,False,4.218017358648636,22.0,0,1,1,0,1,0,1,0,0,0
183988,5,1.0,1.0,50.0,200.0,15.0,3,2,1,False,False,True,False,7.237614331925852,22.0,0,1,0,1,1,1,0,0,0,0
183996,6,2.5,4.0,100.0,1000.0,50.0,6,2,1,False,False,False,False,2.782314283064837,190.0,0,1,1,0,1,0,0,1,0,0
185960,1,1.5,1.0,20.0,0.0,0.0,1,7,0,False,False,False,False,4.554349609631308,150.0,0,1,1,0,1,0,1,0,0,0
186851,2,1.0,1.0,0.0,960.0,0.0,2,62,0,False,False,True,False,4.86113182720624,22.0,0,1,1,0,1,0,0,1,0,0
186908,4,1.0,1.0,30.0,100.0,25.0,1,2,0,False,False,False,False,22.77299597401891,63.0,0,1,1,0,1,0,0,1,0,0
186999,10,1.5,2.0,50.0,200.0,25.0,2,3,0,False,False,False,False,22.906944081333247,22.0,0,1,0,1,1,0,0,1,0,0
187206,1,1.0,1.0,0.0,0.0,0.0,1,2,1,False,False,True,False,4.954594720559653,22.0,0,1,0,1,1,0,0,1,0,0
187326,2,1.0,1.0,35.0,300.0,15.0,1,3,1,False,False,True,False,11.286904301564961,22.0,0,1,0,1,1,0,0,1,0,0
188565,5,1.0,1.0,50.0,1800.0,20.0,1,1,0,False,False,False,False,11.381856014688275,22.0,0,1,0,1,1,1,0,0,0,0
188922,3,1.0,1.0,40.0,200.0,5.0,1,28,0,False,False,False,False,1.3389428836453297,67.0,0,1,1,0,1,0,0,1,0,0
189288,4,1.0,2.0,40.0,150.0,15.0,2,3,0,False,False,True,False,3.9690064728673535,90.0,0,1,1,0,1,0,0,1,0,0
190448,4,1.0,0.0,0.0,0.0,10.0,2,2,0,False,False,True,False,9.543717485436174,60.0,0,1,1,0,1,0,0,1,0,0
191023,2,1.0,1.0,10.0,250.0,25.0,1,1,1,False,False,False,False,0.9295823963832667,49.0,0,1,1,0,1,0,1,0,0,0
192050,5,1.0,2.0,75.0,800.0,5.0,3,120,0,False,False,True,False,5.938240863752586,538.0,0,1,1,0,1,0,0,1,0,0
192052,4,1.0,0.0,35.0,0.0,5.0,2,2,1,False,False,False,False,1.312527410117421,90.0,0,1,0,1,1,0,0,1,0,0
192103,4,1.0,1.0,35.0,0.0,5.0,2,2,1,False,False,False,False,1.393802405186979,40.0,0,1,0,1,1,0,0,1,0,0
192499,2,1.0,1.0,0.0,0.0,10.0,1,2,1,False,False,False,False,3.1274227890799016,22.0,0,1,1,0,1,0,1,0,0,0
193625,2,1.0,1.0,0.0,0.0,18.0,1,3,0,False,False,False,False,1.3802037830790361,215.0,0,1,0,1,1,0,0,1,0,0
194374,5,1.0,2.0,40.0,0.0,25.0,1,3,0,False,False,False,False,8.42636591087737,10.0,0,1,1,0,1,0,0,1,0,0
194465,2,1.5,1.0,35.0,250.0,15.0,1,3,1,False,False,True,False,2.7057622094154348,10.0,0,1,0,1,1,0,0,1,0,0
194546,4,1.0,1.0,35.0,0.0,19.0,2,4,0,False,False,True,False,1.7814244985788354,300.0,0,1,0,1,1,0,0,1,0,0
194694,2,1.0,1.0,17.0,100.0,0.0,1,3,1,False,False,False,False,5.956260450574052,50.0,0,1,0,1,1,1,0,0,0,0
195467,4,1.0,2.0,30.0,200.0,7.0,2,2,0,False,False,True,False,5.179623531737554,60.0,0,1,1,0,1,0,1,0,0,0
196149,4,1.0,2.0,35.0,150.0,25.0,2,2,0,False,False,False,False,1.2185773094431418,22.0,0,1,0,1,1,0,0,1,0,0
196285,2,1.0,0.0,25.0,0.0,10.0,1,3,1,False,False,False,False,2.857080533187117,38.0,0,1,1,0,1,0,1,0,0,0
197291,2,1.0,1.0,0.0,100.0,15.0,2,1,0,False,False,False,False,7.260034667377875,22.0,0,1,1,0,1,0,0,1,0,0
198584,1,2.0,1.0,30.0,200.0,25.0,1,7,0,False,False,True,False,5.9722259327066505,25.0,0,1,1,0,1,1,0,0,0,0
198896,2,1.5,1.0,0.0,0.0,10.0,1,1,0,False,False,False,True,5.532288311357279,20.0,0,1,1,0,1,1,0,0,0,0
200125,4,1.0,2.0,40.0,0.0,29.0,2,4,0,False,False,False,False,15.392174158525856,22.0,1,0,1,0,1,0,0,1,0,0
201224,2,1.0,1.0,49.0,0.0,30.0,2,3,0,False,False,False,False,3.5570525877875125,22.0,0,1,0,1,1,0,1,0,0,0
203634,4,2.0,2.0,70.0,750.0,25.0,2,4,0,False,False,True,False,2.650916258669626,10.0,0,1,0,1,1,0,0,1,0,0
